epoch,epochs_total,train_loss,train_acc,test_loss,test_acc
1,50,1.8129,0.4575,1.1926,0.7574
2,50,1.1643,0.6878,0.6412,0.8558
3,50,0.7393,0.7904,0.3600,0.9127
4,50,0.5301,0.8451,0.2680,0.9290
5,50,0.4200,0.8735,0.2086,0.9421
6,50,0.3500,0.8966,0.1885,0.9481
7,50,0.3081,0.9057,0.1663,0.9528
8,50,0.2791,0.9156,0.1296,0.9632
9,50,0.2573,0.9213,0.1368,0.9601
10,50,0.2369,0.9270,0.1241,0.9634
11,50,0.2268,0.9301,0.1086,0.9684
12,50,0.2148,0.9351,0.1148,0.9656
13,50,0.1992,0.9393,0.1033,0.9686
14,50,0.1982,0.9383,0.1075,0.9670
15,50,0.1925,0.9414,0.1081,0.9676
16,50,0.1885,0.9414,0.0926,0.9730
17,50,0.1796,0.9454,0.0903,0.9727
18,50,0.1735,0.9471,0.0924,0.9703
19,50,0.1732,0.9468,0.0861,0.9734
20,50,0.1655,0.9482,0.0868,0.9734
21,50,0.1647,0.9498,0.0853,0.9741
22,50,0.1620,0.9489,0.0806,0.9756
23,50,0.1587,0.9502,0.0827,0.9750
24,50,0.1593,0.9511,0.0818,0.9747
25,50,0.1530,0.9528,0.0762,0.9755
26,50,0.1433,0.9563,0.0736,0.9774
27,50,0.1441,0.9553,0.0761,0.9777
28,50,0.1475,0.9537,0.0713,0.9782
29,50,0.1401,0.9559,0.0717,0.9789
30,50,0.1373,0.9569,0.0703,0.9795
31,50,0.1364,0.9575,0.0712,0.9772
32,50,0.1336,0.9584,0.0680,0.9795
33,50,0.1333,0.9581,0.0658,0.9803
34,50,0.1269,0.9605,0.0621,0.9818
35,50,0.1288,0.9588,0.0633,0.9806
36,50,0.1221,0.9619,0.0616,0.9818
37,50,0.1255,0.9612,0.0602,0.9824
38,50,0.1222,0.9620,0.0600,0.9823
39,50,0.1219,0.9616,0.0586,0.9822
40,50,0.1211,0.9627,0.0586,0.9823
41,50,0.1187,0.9632,0.0593,0.9814
42,50,0.1163,0.9645,0.0609,0.9815
43,50,0.1162,0.9635,0.0591,0.9817
44,50,0.1168,0.9639,0.0587,0.9821
45,50,0.1146,0.9644,0.0581,0.9824
46,50,0.1144,0.9647,0.0573,0.9826
47,50,0.1112,0.9653,0.0573,0.9826
48,50,0.1144,0.9652,0.0573,0.9827
49,50,0.1171,0.9635,0.0573,0.9827
50,50,0.1155,0.9645,0.0573,0.9827
